x       cos(sqrt(x))    analytical'  forward difference' analytical''  forward difference'' 
7.6		  -0.92688		  -0.06808		  -0.06634		   0.03497		   0.03451
7.7		  -0.93351		  -0.06460		  -0.06289		   0.03450		   0.03404
7.8		  -0.93980		  -0.06118		  -0.05948		   0.03404		   0.03359
7.9		  -0.94575		  -0.05780		  -0.05612		   0.03359		   0.03313
8.0		  -0.95136		  -0.05446		  -0.05281		   0.03313		   0.03269
8.1		  -0.95664		  -0.05117		  -0.04954		   0.03268		   0.03223
8.2		  -0.96160		  -0.04792		  -0.04632		   0.03224		   0.03180
8.3		  -0.96623		  -0.04472		  -0.04314		   0.03180		   0.03136
8.4		  -0.97054		  -0.04156		  -0.04000		   0.03136		   0.03093
8.5		  -0.97454		  -0.03845		  -0.03691		   0.03092		   0.03049
8.6		  -0.97824		  -0.03538		  -0.03386		   0.03049		   0.03006
8.7		  -0.98162		  -0.03235		  -0.03085		   0.03007		   0.02965
8.8		  -0.98471		  -0.02936		  -0.02789		   0.02964		   0.02922
8.9		  -0.98750		  -0.02642		  -0.02497		   0.02922		   0.02880
9.0		  -0.98999		  -0.02352		  -0.02209		   0.02881		   0.02840
9.1		  -0.99220		  -0.02066		  -0.01925		   0.02839		   0.02798
9.2		  -0.99413		  -0.01784		  -0.01645		   0.02798		   0.02758
9.3		  -0.99577		  -0.01506		  -0.01369		   0.02758		   0.02718
9.4		  -0.99714		  -0.01233		  -0.01097		   0.02718		   0.02677
9.5		  -0.99824		  -0.00963		  -0.00830		   0.02678		   0.02638
9.6		  -0.99907		  -0.00697		  -0.00566		   0.02638		   0.02599
9.7		  -0.99963		  -0.00435		  -0.00306		   0.02599		   0.02560
9.8		  -0.99994		  -0.00177		  -0.00050		   0.02560		   0.02521
9.9		  -0.99999		   0.00077		   0.00202		   0.02521		   0.02483
10.0		  -0.99979		   0.00327		   0.00451		   0.02483		   0.02446
10.1		  -0.99934		   0.00573		   0.00695		   0.02445		   0.02407
10.2		  -0.99864		   0.00816		   0.00936		   0.02408		   0.02370
10.3		  -0.99770		   0.01055		   0.01173		   0.02370		   0.02334
10.4		  -0.99653		   0.01290		   0.01406		   0.02333		   0.02297
10.5		  -0.99513		   0.01522		   0.01636		   0.02297		   0.02260
10.6		  -0.99349		   0.01750		   0.01862		   0.02261		   0.02225
10.7		  -0.99163		   0.01974		   0.02084		   0.02225		   0.02189
10.8		  -0.98954		   0.02195		   0.02303		   0.02189		   0.02154
10.9		  -0.98724		   0.02412		   0.02519		   0.02154		   0.02118
11.0		  -0.98472		   0.02625		   0.02731		   0.02119		   0.02084
11.1		  -0.98199		   0.02835		   0.02939		   0.02084		   0.02049
11.2		  -0.97905		   0.03042		   0.03144		   0.02050		   0.02016
11.3		  -0.97591		   0.03245		   0.03346		   0.02015		   0.01982
11.4		  -0.97256		   0.03445		   0.03544		   0.01982		   0.01948
11.5		  -0.96902		   0.03642		   0.03739		   0.01948		   0.01916
11.6		  -0.96528		   0.03835		   0.03930		   0.01915		   0.01882
11.7		  -0.96135		   0.04025		   0.04118		   0.01882		   0.01850
11.8		  -0.95723		   0.04211		   0.04303		   0.01850		   0.01817
11.9		  -0.95293		   0.04395		   0.04485		   0.01817		   0.01786
12.0		  -0.94844		   0.04575		   0.04664		   0.01785		   0.01753
12.1		  -0.94378		   0.04752		   0.04839		   0.01754		   0.01723
12.2		  -0.93894		   0.04925		   0.05011		   0.01722		   0.01690
12.3		  -0.93393		   0.05096		   0.05180		   0.01691		   0.01661
12.4		  -0.92875		   0.05264		   0.05346		   0.01660		   0.01630
12.5		  -0.92340		   0.05428		   0.05509		   0.01630		   0.01600
12.6		  -0.91789		   0.05590		   0.05669		   0.01599		   0.01569
12.7		  -0.91222		   0.05748		   0.05826		   0.01569		   0.01540
12.8		  -0.90640		   0.05904		   0.05980		   0.01540		   0.01510
12.9		  -0.90042		   0.06056		   0.06131		   0.01510		   0.01481
13.0		  -0.89429		   0.06206		   0.06279		   0.01481		   0.01452
13.1		  -0.88801		   0.06352		   0.06424		   0.01452		   0.01423
13.2		  -0.88158		   0.06496		   0.06567		   0.01424		   0.01396
13.3		  -0.87502		   0.06637		   0.06706		   0.01395		   0.01367
13.4		  -0.86831		   0.06775		   0.06843		   0.01367		   0.01340
13.5		  -0.86147		   0.06910		   0.06977		   0.01339		   0.01311
13.6		  -0.85449		   0.07043		   0.07108		   0.01312		   0.01285
13.7		  -0.84738		   0.07173		   0.07237		   0.01285		   0.01257
13.8		  -0.84015		   0.07300		   0.07362		   0.01258		   0.01231
13.9		  -0.83278		   0.07424		   0.07485		   0.01231		   0.01205
14.0		  -0.82530		   0.07546		   0.07606		   0.01204		   0.01178
14.1		  -0.81769		   0.07665		   0.07724		   0.01178		   0.01152
14.2		  -0.80997		   0.07782		   0.07839		   0.01152		   0.01126
14.3		  -0.80213		   0.07896		   0.07951		   0.01126		   0.01101
14.4		  -0.79418		   0.08007		   0.08062		   0.01101		   0.01076
14.5		  -0.78612		   0.08116		   0.08169		   0.01076		   0.01050
14.6		  -0.77795		   0.08222		   0.08274		   0.01051		   0.01026
